header,timestamp,totaal_verbruik_dagtarief_kwh,totaal_verbruik_nachttarief_kwh,totaal_injectie_dagtarief_kwh,totale_injectie_nachttarief_kwh,Tarief_indicatie,gemmiddeld_verbruik_kw,timestamp_piekvermogen,piekvermogen_huidige_maand,actief_verbruik_kw,acitef_injectie_kw,instant_vermogen_L1+P_kw,instant_vermogen_l1_injectie_kw,spanning_V,stroom_A,timestamp_gas,gas_verbruik_m³,Totale_injectie_nachttarief_kwh,actief_injectie_kw
"FLU5\253770234_A",2023-09-02T13:31:17Z,000335.889,000447.195,001821.987,0,0002,00.005,2023-09-01T16:00:00Z,04.898,0,0,0,0,0,0,0,0,000712.647
"FLU5\253770234_A",2023-09-02T13:31:18Z,000335.889,000447.195,001821.987,0,0,00.006,2023-09-01T16:00:00Z,04.898,00.576,0,00.576,00.000,21.0,002.70,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:19Z,000335.889,000447.195,001821.987,0,0002,00.007,2023-09-01T16:00:00Z,04.898,00.576,0,00.576,00.000,0,0,0,0,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:20Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,00.574,0,00.574,00.000,241.2,002.68,2023-09-02T13:25:04Z,00817.313,00.000
"FLU5\253770234_A",0,000335.889,000447.196,001821.987,0,0,00.008,2023-09-01T16:00:00Z,04.898,00.573,0,00.573,00.000,241.2,002.68,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:22Z,000335.889,000447.196,001821.987,0,0002,00.009,2023-09-01T16:00:00Z,04.898,00.571,0,00.571,00.000,241.1,002.67,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:23Z,0,000447.196,001821.987,0,0002,00.009,2023-09-01T16:00:00Z,04.898,00.573,0,00.573,00.000,241.6,002.68,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",0,000335.889,000447.196,001821.987,0,0002,00.010,2023-09-01T16:00:00Z,04.898,00.568,0,00.568,00.000,241.0,002.67,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:25Z,000335.889,000447.196,001821.987,0,0002,00.011,2023-09-01T16:00:00Z,04.898,0,0,00.569,00.000,241.6,0,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:26Z,0,000447.197,001821.987,0,0002,00.011,2023-09-01T16:00:00Z,04.898,00.567,0,00.567,00.000,0,002.66,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
